"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"419","ESCORREDOR DE PRATOS","UTENSILIOS","false","UN","0","1,0000","464,9500","464,9500"
"420","ESCORREDOR DE TALHERES","UTENSILIOS","false","UN","0","16,0000","6,0000","96,0000"
"423","DOSADOR DE BEBIDAS","UTENSILIOS","false","UN","0","2,0000","18,0000","36,0000"
"427","BOMBA DOSADORA","UTENSILIOS","false","UN","0","4,0000","31,1600","124,6400"
"428","BICO GARRAFA DE CHANTILY","UTENSILIOS","false","UN","0","2,0000","35,0000","70,0000"
"430","PRATO PAO-TRAVESSA QUADRADA","UTENSILIOS","false","UN","0","14,0000","0,0000","0,0000"
"340","BORRACHA DE APOIO","UTENSILIOS","false","UN","0","2,0000","31,0000","62,0000"
"345","CANECA SCADA","UTENSILIOS","true","UN","0","5,0000","12,5400","62,7000"
"336","PINCEL DO CACHIMBO","UTENSILIOS","false","UN","0","1,0000","7,9000","7,9000"
"337","PINCEL LIMPEZA","UTENSILIOS","false","UN","0","0,0000","11,0000","0,0000"
"469","AEROPRESS","UTENSILIOS","false","UN","0","3,0000","335,0000","1.005,0000"
"392","JARRA PLASTICA GRANDE","UTENSILIOS","false","UN","0","5,0000","25,0000","125,0000"
"393","FREEZER VERTICAL","UTENSILIOS","false","UN","0","3,0000","0,0000","0,0000"
"394","DISPLAY DE MESA","UTENSILIOS","false","UN","0","19,0000","27,8000","528,2000"
"395","DISPLAY DE PRODUTOS","UTENSILIOS","false","UN","0","0,0000","4,7400","0,0000"
"396","BALDE GELO INOX","UTENSILIOS","false","UN","0","2,0000","53,0000","106,0000"
"444","CHEMEX PASSADOR DE CAFE - 3 XICARAS","UTENSILIOS","true","UN","0","2,0000","250,0000","500,0000"
"456","ESPATULA PAO DURO","UTENSILIOS","false","UN","0","3,0000","17,9900","53,9700"
"317","LUVA TERMICA","UTENSILIOS","false","UN","0","2,0000","17,0000","34,0000"
"318","BALDE LIMPEZA","UTENSILIOS","false","UN","0","1,0000","34,9900","34,9900"
"270","BANDEJA PARA SERVIR","UTENSILIOS","false","UN","0","5,0000","78,9900","394,9500"
"272","PEGADOR SALGADO","UTENSILIOS","false","UN","0","1,0000","0,0000","0,0000"
"275","PICHER 20 OZ  600ML","UTENSILIOS","false","UN","0","5,0000","50,0000","250,0000"
"276","PICHER 03 OZ MINI  90ML","UTENSILIOS","false","UN","0","1,0000","40,0000","40,0000"
"277","GARRAFA CHANTILY","UTENSILIOS","false","UN","0","2,0000","260,0000","520,0000"
"278","BOLEIRA VIDRO","UTENSILIOS","false","UN","0","6,0000","70,0000","420,0000"
"280","COPO BLENTEC","UTENSILIOS","false","UN","0","2,0000","1.400,0000","2.800,0000"
"284","POLVILHADOR DE INOX","UTENSILIOS","false","UN","0","4,0000","20,0000","80,0000"
"285","COPO -JARRA  MEDIDOR","UTENSILIOS","false","UN","0","1,0000","6,0000","6,0000"
"287","BALANCA PRECISAO DIGITAL","UTENSILIOS","false","UN","0","3,0000","16,9000","50,7000"
"288","PA DE LIXO","UTENSILIOS","false","UN","0","1,0000","15,0000","15,0000"
