"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"96","ACUCAR ORGANICO SACHE","SECOS","false","UN","0","0,0000","0,0597","0,0000"
"97","ACUCAR MASCAVO SACHE","SECOS","false","UN","0","200,0000","0,2473","49,4600"
"150","GAS PARA CHANTILY","SECOS","true","UN","0","49,0000","2,3900","117,1100"
"1172","LEITE VEGETAL","SECOS","true","LT","0","9,0000","14,5808","131,2272"
"1034","OVO IN NATURA","SECOS","true","UN","0","55,0000","0,5898","32,4390"
"1243","BOLACHA OREO - UNIDADE 0,09 GRAMAS","SECOS","true","KG","0","0,0540","51,1247","2,7607"
"1244","BOLACHA CHAMPAGNE  - 0,0075 CADA UNIDADE","SECOS","true","KG","0","0,0000","72,2000","0,0000"
"1268","GAS PARA MACARICO","SECOS","false","UN","0","3,0000","17,9000","53,7000"
"881","TAPIOCA","SECOS","true","KG","0","2,7400","15,9600","43,7304"
"782","SAL SACHE","SECOS","true","UN","0","0,0000","0,0380","0,0000"
"842","PIMENTA DO REINO","SECOS","true","KG","0","0,2000","89,9000","17,9800"
"498","DOCE DE LEITE","SECOS","true","KG","0","0,4000","23,2667","9,3067"
"758","BATATA PALHA","SECOS","true","KG","0","1,0060","122,1111","122,8438"
"762","ACETO BALSAMICO","SECOS","false","LT","0","0,5500","39,8000","21,8900"
"1305","BISCOITO SCADA LIMÃO SICILIANO","SECOS","true","UN","0","0,0000","15,6000","0,0000"
"1306","BISCOITO SCADA CANELA","SECOS","true","UN","0","0,0000","15,6000","0,0000"
"1307","BISCOITO SCADA CAFÉ C/ CHOCOLATE","SECOS","true","UN","0","1,0000","15,6000","15,6000"
"1308","COPO DESCARTAVEL TERMIICO 480ML","DESCARTAVEIS","false","UN","0","25,0000","0,9128","22,8200"
"557","BLOCO DE COMANDA","DESCARTAVEIS","false","UN","0","27,0000","1,1000","29,7000"
"559","ETIQUETA DE VALIDADE","DESCARTAVEIS","false","UN","0","4.000,0000","0,0329","131,6000"
"677","FILTRO NATURAL HARIO V60 02 - USO INTERN","DESCARTAVEIS","true","UN","0","100,0000","0,3206","32,0600"
"685","SACO PARA TALHER","DESCARTAVEIS","false","UN","0","1.030,0000","0,1600","164,8000"
"458","COPO DESCARTAVEL 354ML SCADA","DESCARTAVEIS","false","UN","0","220,0000","1,0000","220,0000"
"461","CANUDO PARA SMOOTHIES","DESCARTAVEIS","true","UN","0","550,0000","0,1432","78,7600"
"429","SACO PLASTICO PARA ALIMENTOS","DESCARTAVEIS","false","UN","0","0,0000","0,5938","0,0000"
"780","FACA DESCARTAVEL","DESCARTAVEIS","true","UN","0","200,0000","0,1380","27,6000"
"863","EMBALAGEM ISOPOR PQ","DESCARTAVEIS","false","UN","0","0,0000","0,0000","0,0000"
"864","EMBALAGEM ISOPOR GD","DESCARTAVEIS","false","UN","0","0,0000","0,7997","0,0000"
"867","PALITO CHURRASCO","DESCARTAVEIS","true","UN","0","400,0000","0,0438","17,5200"
"1274","ETIQUETA LACRE DE COPO E POTE  ALUMINIO","DESCARTAVEIS","true","UN","0","0,0000","1,5800","0,0000"
"1275","EMBALGEM DOCINHOS - G 641 SF","DESCARTAVEIS","false","UN","0","0,0000","0,6000","0,0000"
"1279","TAMPA POTE 180ML-BOLHA - G687","DESCARTAVEIS","true","UN","0","0,0000","0,0000","0,0000"
"1281","SUPORTE BASE P/ 2 COPO  PAPELAO","DESCARTAVEIS","true","UN","0","0,0000","4,2000","0,0000"
"1283","SACO PARA ALIMENTO 30 X 40// 20 X 30","DESCARTAVEIS","false","UN","0","2,0000","0,1584","0,3168"
"1284","SACO PARA ALIMENTO 60 X 90","DESCARTAVEIS","false","UN","0","450,0000","0,6224","280,0800"
"1039","EMBALAGEM TORTA FATIA S-630","DESCARTAVEIS","true","UN","0","0,0000","0,3600","0,0000"
"1093","SUPORTE BASE P/ 1 COPO  PAPELAO","DESCARTAVEIS","true","UN","0","0,0000","3,7200","0,0000"
"1051","PAPEL ANTI GORDURA 25X21","DESCARTAVEIS","true","UN","0","1.500,0000","0,2563","384,4500"
"1164","CAIXA FILTRO NAT HARIO V60 02","DESCARTAVEIS","true","CX","0","0,0000","0,3206","0,0000"
"151","EMBALAGEM RETANGULAR GA-10  - 19X11","DESCARTAVEIS","true","UN","0","0,0000","0,2200","0,0000"
"153","SACO VIAGEM SCADA P","DESCARTAVEIS","true","UN","0","2.090,0000","0,3200","668,8000"
"154","SACO VIAGEM SCADA G","DESCARTAVEIS","true","UN","0","150,0000","1,0000","150,0000"
"155","COPO DESCARTAVEL TERMICO SCADA 120ML","DESCARTAVEIS","true","UN","0","180,0000","0,5500","99,0000"
"156","COPO DESCARTAVEL TERMICO SCADA 240ML","DESCARTAVEIS","true","UN","0","170,0000","1,0300","175,1000"
"157","TAMPA COPO 120ML-TERMICO","DESCARTAVEIS","true","UN","0","200,0000","0,3900","78,0000"
"158","TAMPA COPO 240ML-TERMICO","DESCARTAVEIS","true","UN","0","159,0000","0,5700","90,6300"
"160","TAMPA LISA 360/440/480/500/550","DESCARTAVEIS","true","UN","0","125,0000","0,3900","48,7500"
"161","GUARDANAPO SCADA","DESCARTAVEIS","false","UN","0","3.800,0000","0,0842","319,9600"
"162","MEXEDOR CAFE","DESCARTAVEIS","false","UN","0","6.000,0000","0,0300","180,0000"
"165","COLHER DESCARTAVEL","DESCARTAVEIS","true","UN","0","50,0000","0,1682","8,4100"
"113","CANUDO TRADICIONAL","DESCARTAVEIS","true","UN","0","650,0000","0,0963","62,5950"
"310","LUVA DESCARTAVEL TRANSPARENTE","DESCARTAVEIS","false","UN","0","1.300,0000","0,0429","55,7700"
"347","SACOLA VIAGEM SCADA","DESCARTAVEIS","true","UN","0","130,0000","1,3400","174,2000"
"314","PLASTICO FILME 28 X 300","DESCARTAVEIS","false","UN","0","2,0000","35,9900","71,9800"
"332","TOUCA DE CABELO","DESCARTAVEIS","false","UN","0","2,0000","0,8700","1,7400"
"333","COPO DESCARTAVEL 330ML","DESCARTAVEIS","false","UN","0","0,0000","0,1100","0,0000"
"315","SACO LIXO 100 L","MATERIAL LIMPEZA / HIGIENE","false","UN","0","200,0000","0,7996","159,9200"
"316","SABONETE LIQUIDO","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","39,9000","0,0000"
"407","LIMPA VIDROS","MATERIAL LIMPEZA / HIGIENE","false","VD","0","0,0000","5,9700","0,0000"
"408","FIBRACO","MATERIAL LIMPEZA / HIGIENE","false","PC","0","16,0000","2,8560","45,6960"
"410","PANO DE CHAO","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","6,1450","0,0000"
"312","PAPEL TOALHA PARA DISPENSER","MATERIAL LIMPEZA / HIGIENE","false","UN","0","2.300,0000","0,0252","57,9600"
"298","DETERGENTE NEUTRO LIQUIDO","MATERIAL LIMPEZA / HIGIENE","false","LT","0","3,0000","3,2000","9,6000"
"299","AGUA SANITARIA","MATERIAL LIMPEZA / HIGIENE","false","LT","0","0,0000","3,5543","0,0000"
"300","LUSTRA MOVEIS","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","18,6500","0,0000"
"301","ALCOOL","MATERIAL LIMPEZA / HIGIENE","false","UN","0","15,0000","7,2400","108,6000"
"302","DETERGENTE EM PO - CAFIZA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","1,0000","150,0000","150,0000"
"303","DESINFETANTE","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","2,5960","0,0000"
"304","PERFLEX","MATERIAL LIMPEZA / HIGIENE","false","UN","0","2.400,0000","0,0900","216,0000"
"305","ESPONJA LAVA LOUCA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","18,0000","1,9900","35,8200"
"1018","LUVA DE BORRACHA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","1,0000","6,5100","6,5100"
"1270","MASCARA DESCARTAVEL","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","0,1500","0,0000"
"1300","PASTILHA CLORIN PARA PURIFICAR AGUA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","0,6995","0,0000"
"1303","OLEO PEROBA","MATERIAL LIMPEZA / HIGIENE","false","LT","0","4,0000","0,0000","0,0000"
"1304","HIPOCLORITO SODIO 12% - LEGUMES E FRUTAS","MATERIAL LIMPEZA / HIGIENE","false","LT","0","0,0000","0,0000","0,0000"
